volume,direction,correspondent,date,year
3,to,George Montagu,"Paris, March 3, 1766",1766
3,to,Lady Hervey,"Paris, March 10, 1766",1766
3,to,George Montagu,,
3,to,George Montagu,"Paris, March 21, 1766",1766
3,to,George Montagu,"Paris, April 3, 1766",1766
3,to,Hon. H. S. Conway,"Paris, April 6, 1766",1766
3,to,Hon. H. S. Conway,"Paris, April 8, 1766",1766
3,to,Rev. Mr. Cole,"Arlington-street, May 10, 1766",1766
3,to,Rev. Mr. Cole,,
3,to,Rev. Mr. Cole,"Arlington-street, May 13, 1766",1766
3,to,George Montagu,"Strawberry -hill, May 23, 1766",1766
3,to,George Montagu,"Strawberry-hill, June 20, 1766",1766
3,to,Lady Hervey,"Strawberry -hill, June 28, 1766",1766
3,to,George Montagu,"Arlington-street, July 10, 1766",1766
3,to,George Montagu,"Arlington-street, July 21, 1766",1766
3,to,Rev. Mr. Cole,"Arlington-street, Sept. 18, 1766",1766
3,to,George Montagu,"Strawberry-hill, Sept. 23, 1766",1766
3,to,Hon. H. S. Conway,"Bath, October 2, 1766",1766
3,to,George Montagu,"Bath, October 5, 1766,",1766
3,to,John Chute,"Bath, October 10, 1766",1766
3,to,George Montagu,"Bath, October 18, 1766",1766
3,to,Hon. H. S. Conway,"Bath, October 18, 1766",1766
3,to,George Montagu,"Strawberry -hill, Oct. 22, l766",1766
3,to,"DAVID HUME, Esq,","Nov. 6, 1766",1766
3,to,"DAVID HUME, Esq","Arlington-street, Nov. 11, 1766",1766
3,to,George Montagu,"Strawberry -hill, Dec. 12, 1766",1766
3,to,George Montagu,"Arlington-street, Dec, 16, 1766",1766
3,to,George Montagu,"Tuesday, Jan. 13, 1767",1767
3,to,Earl of Strafford,"Strawberry-hill, July 29, 1767",1767
3,to,George Montagu,"Arlington-street, July 31, 1767",1767
3,to,George Montagu,"Friday, Aug. 7, 1767-",1767
3,to,Rev. Mr. Cole,"Arlington-street, Oct. 24, 1767",1767
3,to,George Montagu,"Strawberry-hill, Sunday, Nov. 1, 1767. -",1767
3,to,Rev. Mr. Cole,"Strawberry-hill, Dec. 19, 1767",1767
