person_a,person_b,weight,year_min,year_max,sources
Charles Burney,Robert Southey,1,1833,1833,hemlow_catalogue
Charles Burney,Robert Squire,1,1751,1760,lonsdale_lynn
Charles Burney,Robert Strange,1,1750,1770,waterfield_thesis
Charles Burney,Rosette Burney,4,,,hemlow_catalogue
Charles Burney,Samuel Crisp,3,1770,1776,hemlow_catalogue
Charles Burney,Samuel Hoole,1,,,hemlow_catalogue
Charles Burney,Samuel Johnson,20,1755,1784,"hemlow_catalogue|johnson_hill|lonsdale_lynn,johnson_hill"
Charles Burney,Samuel Wesley,1,1801,1801,hemlow_catalogue
Charles Burney,Simon Nicolo Henri Linguet,1,1777,1777,hemlow_catalogue
Charles Burney,Sir John Turner,1,1751,1760,lonsdale_lynn
Charles Burney,Sir Uvedale Price,2,,,hemlow_catalogue
Charles Burney,Stephen Allen,2,1751,1760,lonsdale_lynn
Charles Burney,Susanna Burney Phillips,3,,,hemlow_catalogue
Charles Burney,TJ Mathias,1,,,hemlow_catalogue
Charles Burney,Thomas Hutcheson,1,1767,1767,hemlow_catalogue
Charles Burney,Thomas Pennant,4,1773,1774,hemlow_catalogue
Charles Burney,Thomas Twining,103,1773,1782,hemlow_catalogue
Charles Burney,Vicenzio Martinelli,2,1760,1770,hemlow_catalogue
Charles Burney,Voltaire,1,1770,1770,tour_contact
Charles Burney,Warren Hastings,1,,,hemlow_catalogue
Charles Burney,William Ayrton,1,,,hemlow_catalogue
Charles Burney,William Bewley,41,1757,1781,hemlow_catalogue
Charles Burney,William Crotch,1,,,hemlow_catalogue
Charles Burney,William French,1,1791,1791,hemlow_catalogue
Charles Burney,William Hamilton,2,1770,1770,hemlow_catalogue
Charles Burney,William Herschel,2,1776,1776,hemlow_catalogue
Charles Burney,William Keate,2,,,hemlow_catalogue
Charles Burney,William Locke,2,,,hemlow_catalogue
Charles Burney,William Mason,8,1769,1790,hemlow_catalogue
Charles Burney,William Parsons,1,,,hemlow_catalogue
Charles Burney,William Scott,1,,,hemlow_catalogue
Charles Burney,William Windham,2,,,hemlow_catalogue
Charles Burney,Wolfgang Amadeus Mozart,1,1770,1770,tour_contact
Charles Burney,de Grange Blanche,1,1766,1766,hemlow_catalogue
Charles Burney Jr,Charles Butler,6,1799,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Charles Cordiner,2,1781,1781,coulombeau_waterfield
Charles Burney Jr,Charles Cross,1,1790,1790,coulombeau_waterfield
Charles Burney Jr,Charles Greville,1,1812,1812,coulombeau_waterfield
Charles Burney Jr,Charles Malcolm Manners,1,1817,1817,hemlow_catalogue
Charles Burney Jr,Charles Manners-Sutton,6,1806,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Charles Matthews,1,1816,1816,coulombeau_waterfield
Charles Burney Jr,Charles Parr Burney,393,1795,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Charles Taylor,2,1800,1806,coulombeau_waterfield
Charles Burney Jr,Charlotte Broome,4,1786,1802,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Clement Francis,1,1788,1788,coulombeau_waterfield
Charles Burney Jr,Count <Zenobio>,1,1816,1816,coulombeau_waterfield
Charles Burney Jr,Countess Spencer,2,1810,1810,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Cutler Moore,1,,,hemlow_catalogue
Charles Burney Jr,Douglas Kinnaird,2,1814,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Dr Monkton,1,1809,1809,hemlow_catalogue
Charles Burney Jr,E H. Barker,1,1813,1813,coulombeau_waterfield
Charles Burney Jr,E H. Barker,3,1813,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,E L Baines,4,1781,1781,coulombeau_waterfield
Charles Burney Jr,Earl Spencer,4,1803,1804,coulombeau_waterfield
Charles Burney Jr,Earl Spencer,16,1807,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Edmond Malone,17,1798,1811,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Edward Cardwell,1,1811,1811,coulombeau_waterfield
Charles Burney Jr,Edward Copleston,4,1810,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Edward Crachroft,2,1811,1812,hemlow_catalogue
Charles Burney Jr,Edward Foss,6,1799,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Edward Francesco Burney,1,1780,1780,coulombeau_waterfield
Charles Burney Jr,Edward Legge,2,1816,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Edward Maltby,4,1808,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,"Edward, Duke of York",1,1813,1813,coulombeau_waterfield
Charles Burney Jr,Elizabeth Rose,1,1797,1797,hemlow_catalogue
Charles Burney Jr,Elspet Gray,1,1810,1810,coulombeau_waterfield
Charles Burney Jr,Esther Burney,6,1800,1815,coulombeau_waterfield
Charles Burney Jr,Eva Garrick,3,1817,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,"FB, SEB",1,1781,1781,coulombeau_waterfield
Charles Burney Jr,Frances Burney,361,1766,1821,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Frances Millais,1,1813,1813,hemlow_catalogue
Charles Burney Jr,Frances Raper,3,1807,1807,coulombeau_waterfield
Charles Burney Jr,Frances Wollaston,1,1786,1786,coulombeau_waterfield
Charles Burney Jr,Frances Wood,2,1814,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Francis Milman,1,1813,1813,coulombeau_waterfield
Charles Burney Jr,"Francis North, 4th Earl of Guilford",5,1802,1817,coulombeau_waterfield
Charles Burney Jr,Francis Riollay,1,1783,1783,coulombeau_waterfield
Charles Burney Jr,Francis Wollaston,1,1778,1778,coulombeau_waterfield
Charles Burney Jr,Francis Wrangham,1,1811,1811,coulombeau_waterfield
Charles Burney Jr,"Frederick North, 5th Earl of Guilford",2,1792,1807,coulombeau_waterfield
Charles Burney Jr,G A Hatch,1,1806,1806,coulombeau_waterfield
Charles Burney Jr,G Woodfall,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,G.E Griffiths,1,,,coulombeau_waterfield
Charles Burney Jr,G.E Griffiths,18,1799,1812,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,George Ashby,2,1789,1789,hemlow_catalogue
Charles Burney Jr,George Baker,2,1790,1790,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,George Beaumont,7,1802,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,George Beaumont,1,1809,1809,hemlow_catalogue
Charles Burney Jr,George Canning,2,1807,1810,coulombeau_waterfield
Charles Burney Jr,George Colman,6,1783,1788,coulombeau_waterfield
Charles Burney Jr,George Dance,1,1799,1799,coulombeau_waterfield
Charles Burney Jr,George Dyer,4,1814,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,George Henry Glasse,5,1789,1808,coulombeau_waterfield
Charles Burney Jr,George Henry Law,1,1814,1814,coulombeau_waterfield
